,NameOfSubstance,hsdb_log_kow,Crippen_MolLogP,Crippen_MolMR,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,ExactMolWt,FractionCSP3,allKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,N_AliphCarbC,N_AliphHetC,N_AliphRing,N_AmideBonds,N_AromCarbC,N_AromHetC,N_AromRing,N_AtomStereoCenters,N_BridgeheadAtoms,N_HBA,N_HBD,N_Heteroatoms,N_Heterocycles,N_LipinskiHBA,N_LipinskiHBD,N_Rings,N_RotatableBonds,N_CarbC,N_SatHetC,N_SatRing,N_SpiroAt,N_UnsAtSterCent
529,MALEIC HYDRAZIDE,-0.68,-1.3829000000000002,29.105900000000002,4.495760983996561,4.495760983996561,2.081213825331614,2.081213825331614,1.1801593387307365,1.1801593387307365,0.5195439278368265,0.5195439278368265,0.19508837046810923,0.19508837046810923,130.037842052,0.0,-1.36,7.640000000000001,3.6185915956251193,4.494132085911171,51.12164119197438,0,0,0,1,0,0,0,0,0,3,3,5,0,5,4,0,2,0,0,0,0,0
530,METHYL ISOCYANATE,0.79,-0.04799999999999999,14.0455,2.355461885963821,2.355461885963821,0.8749445384818685,0.8749445384818685,0.31489389066750667,0.31489389066750667,0.09128709291752769,0.09128709291752769,0.0,0.0,57.021463716,0.5,-0.6200000000000001,3.38,2.3800000000000003,1.3800000000000001,24.161037728130044,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0
531,METHYLDICHLOROSILANE,1.7,1.3143,24.718999999999994,2.3332792152080803,4.999837645624241,1.0137860496616107,5.659972831816741,0.518914390356217,6.154844491122135,0.0,0.0,0.0,0.0,113.945932018,1.0,0.796883116883117,4.796883116883117,2.0602570394443425,14.220822711198151,36.73416508731558,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
532,METHYL PARATHION,2.86,2.490900000000001,62.027400000000014,8.653318010541598,10.364241782469241,4.161039843965889,6.7170784456566635,2.6546599953153223,5.80359890199039,1.7119655685061432,4.158852056683825,0.9068830110435789,1.8431393114279104,263.00173005,0.25,-1.01,13.056711140760507,5.358104006513232,3.2447931861980153,97.5348268625236,0,0,0,0,1,0,1,0,0,6,0,8,0,6,0,1,5,0,0,0,0,0
533,Nabam,-4.24,-6.162799999999998,55.93140000000001,7.047206724228548,14.313193047939453,2.5236033621142733,4.156596523969726,1.4284683477238034,3.578298261984863,0.663675134594813,1.2410254037844384,0.3291241452319315,0.7373724356957942,255.920920752,0.5,2.2200000000000006,19.74134747919586,13.22,18.09652043798025,138.7882948048726,0,0,0,0,0,0,0,0,0,4,2,8,0,2,2,0,3,0,0,0,0,0
534,AZINPHOSMETHYL,2.75,1.9994999999999998,79.69200000000002,10.3466036922642,12.874024045119569,5.280384234801115,9.509218220691846,3.4818404381053067,9.975267585180907,2.414660409221249,8.017986058402062,1.413301745468216,4.001989827870211,317.005769874,0.3,-0.79,14.615610365285088,6.107870443192932,3.2114949859410507,118.56728161329335,0,0,0,0,1,1,2,0,0,8,0,9,1,6,0,2,5,0,0,0,0,0
535,METHYLHYDRAZINE,-1.05,-0.9205000000000001,13.247100000000001,2.0773502691896257,2.0773502691896257,0.7886751345948129,0.7886751345948129,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,0.0,46.05309819199999,1.0,-0.08,2.92,1.9199999999999995,1.9200000000000033,19.599139928685283,0,0,0,0,0,0,0,0,0,2,2,2,0,2,3,0,0,0,0,0,0,0
536,METHOXYCHLOR,5.08,5.205900000000002,88.12100000000004,11.646542422662042,13.914329260717409,6.300451394781706,7.434344813809389,4.5209447294534835,6.889884114447177,3.2255974215001815,3.8802510922081583,2.1631355240745647,2.91906447009302,344.01376276,0.25,-1.0899999999999999,16.283443518383198,6.780315057509539,3.9690873213681592,139.0851549228062,0,0,0,0,2,0,2,0,0,2,0,5,0,2,0,2,4,0,0,0,0,0
537,PHENYL ETHYL KETONE,2.19,2.2793,41.063500000000026,6.002106417598541,6.002106417598541,3.4254679195347126,3.4254679195347126,2.142755129587722,2.142755129587722,1.4168786063723726,1.4168786063723726,0.8281695097263407,0.8281695097263407,134.07316494,0.2222222222222222,-1.11,7.0024859392575936,3.158345867895079,1.4386129877383433,60.68775156273055,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0
538,"N,N-DIMETHYLANILINE",2.31,1.7526,40.76900000000002,5.833964941448088,5.833964941448088,3.0287175912728546,3.0287175912728546,2.229976349936704,2.229976349936704,1.2725913796762816,1.2725913796762816,0.7261365012700954,0.7261365012700954,121.08914935199999,0.25,-0.9800000000000001,6.144688279301746,2.533930223385564,1.4567376919048354,55.92112101849355,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
539,PHORATE,3.56,3.727700000000003,68.12700000000004,8.316882172565464,11.66079910634856,4.29499275987393,9.678527284143914,2.022512609334828,9.972249504052925,1.0727026450071562,8.145296659257196,0.6131820202869476,7.65718625377326,260.012829414,1.0,1.27,14.270000000000001,8.568049644705708,7.2283750941897615,94.44405669215767,0,0,0,0,0,0,0,0,0,5,0,6,0,2,0,0,8,0,0,0,0,0
540,METHYLPARABEN,1.96,1.1788,39.446300000000015,6.073111253186188,6.073111253186188,3.1114705837236243,3.1114705837236243,2.0384556481391707,2.0384556481391707,1.2884023776378852,1.2884023776378852,0.7153640271100253,0.7153640271100253,152.047344116,0.125,-1.5099999999999998,7.595374077976819,3.0531381005525,1.7031790754529077,64.23058843003683,0,0,0,0,1,0,1,0,0,3,1,3,0,3,1,1,1,0,0,0,0,0
541,PROPIONIC ACID,0.33,0.481,17.9268,3.0625686671503685,3.0625686671503685,1.4883911147617317,1.4883911147617317,0.7472919338166268,0.7472919338166268,0.30245145030582543,0.30245145030582543,0.0,0.0,74.036779432,0.6666666666666666,-0.53,4.469999999999999,1.7581844380403455,3.469999999999999,30.42489110886254,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,1,0,0,0,0,0
542,PROPIONALDEHYDE,0.59,0.5952999999999999,16.355,2.6927053408400363,2.6927053408400363,1.3510573320459265,1.3510573320459265,0.5749149571305296,0.5749149571305296,0.16666666666666669,0.16666666666666669,0.0,0.0,58.041864812,0.6666666666666666,-0.33,3.67,2.67,1.6699999999999997,25.630657356666532,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
543,MESITYL OXIDE,1.37,1.5416,30.111999999999988,4.985598559653489,4.985598559653489,2.2814744144215573,2.2814744144215573,1.8323382465115348,1.8323382465115348,0.4919382669910983,0.4919382669910983,0.40652626479257087,0.40652626479257087,98.07316494,0.5,-0.5900000000000001,6.41,2.5606981340096038,5.409999999999999,44.035880667672096,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
